name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
イオン春日井店,愛知県春日井市柏井町４－１７,35.2380091359,136.962056948,0,0,0,0,0,0,0,0,0,1
赤池駅前店,愛知県日進市赤池１－２９０１,35.1209926977,137.018602385,0,0,0,0,1,0,0,0,0,1
高針西友店,愛知県名古屋市名東区牧の里１－４０１西友高針店１Ｆ,35.154385283,137.006686378,0,0,0,1,0,0,0,0,0,1
阿久比アピタ店,愛知県知多郡阿久比町大字椋岡字徳吉１－１２,34.9205360733,136.919949833,1,0,0,0,0,0,0,0,0,1
木曽川アピタ店,愛知県一宮市木曽川町黒田八ノ通り５１－４,35.3449008547,136.791389338,1,0,0,0,0,0,0,0,0,1
西城ピアゴ店,愛知県名古屋市守山区村合町１７５,35.2077453862,136.963405153,0,0,0,0,0,0,0,0,0,1
イオンタウン刈谷店,愛知県刈谷市東境町京和１,35.0387722655,137.028574212,0,0,0,0,0,0,0,0,0,1
弥富通店,愛知県名古屋市天白区元八事１－２４６,35.1220637715,136.96519199,1,0,1,0,1,0,0,1,1,1
２４８幸田町店,愛知県額田郡幸田町大字荻字荒子５５,34.8586921047,137.1772142,1,0,1,0,1,0,0,0,0,1
稲沢重本店,愛知県稲沢市重本２－５４,35.2488621707,136.78420956,1,1,1,0,1,0,0,0,0,1
イオンモール名古屋みなと店,愛知県名古屋市港区品川町２－１－６,35.1029303728,136.86196083,0,0,0,1,0,0,0,0,0,1
知多清水が丘店,愛知県知多市清水が丘１－１７１１,34.9899807513,136.876041995,1,1,1,0,1,0,0,0,1,1
佐屋ピアゴ店,愛知県愛西市北一色町東田面１０－１,35.1478678983,136.730103201,0,0,0,1,0,0,0,0,0,1
新城バイパス店,愛知県新城市稲木仲野７１－２,34.8921331105,137.474257055,1,0,1,0,1,0,0,0,0,1
１号線大岩町店,愛知県豊橋市大岩町字岩田３０,34.7244520839,137.431803158,0,0,1,0,1,0,0,0,0,1
４１９梅坪店,愛知県豊田市東梅坪町２－１－２２,35.105160829,137.163873953,1,0,1,0,1,0,0,0,0,1
安城コロナワールド店,愛知県安城市浜富町６－８,34.9548223129,137.096206092,1,0,1,0,1,0,0,0,1,1
岡崎西友店,愛知県岡崎市戸崎町越舞２－１,34.9315335793,137.165296223,0,0,0,1,0,0,0,0,0,1
小牧ラピオ店,愛知県小牧市小牧３－５５５,35.289719572,136.925068012,0,0,0,0,0,0,0,0,0,1
福釜ピアゴ店,愛知県安城市福釜町矢場１６－５,34.9506499898,137.06131149,0,0,0,0,0,0,0,0,0,1
イオン守山店,愛知県名古屋市守山区笹ヶ根３－１２２８,35.2352737992,137.00367148,0,0,0,1,0,0,0,0,0,1
光音寺バロー店,愛知県名古屋市北区水草町１－４７－１,35.2061861562,136.90809336,1,0,0,1,0,0,0,0,0,1
１５５平和町店,愛知県稲沢市平和町下起南２１６－２,35.2041226917,136.733387556,1,1,1,0,1,0,0,0,1,1
春日井市民病院前店,愛知県春日井市西山町３－５－１,35.2722824272,136.972006501,0,0,1,0,1,0,0,0,0,1
コノミヤ青木店,愛知県豊田市青木町４－５７,35.1171096337,137.181674197,1,0,0,0,0,0,0,0,0,1
イオン瀬戸みずの店,愛知県瀬戸市みずの坂２－２５３,35.2430580786,137.066977353,0,0,0,1,0,0,0,0,0,1
新瀬戸バロー店,愛知県瀬戸市東横山町９２,35.2262010724,137.076977653,0,0,0,1,0,0,0,0,0,1
津島本店ヨシヅヤ店,愛知県津島市大字津島字北新開３５１,35.1747872098,136.747725418,1,0,0,0,0,0,0,0,1,1
三好アイ・モール店,愛知県みよし市大字三好字青木８８番地,35.0928826477,137.079266466,1,0,0,0,0,0,0,0,1,1
中部大学店,愛知県春日井市松本町１２００,35.2737788603,137.014737446,0,0,0,1,0,0,0,0,0,0
西春町店,愛知県北名古屋市弥勒寺西３－９２,35.2544665959,136.866531065,1,0,1,0,1,0,0,0,0,1
八剱ピアゴ店,愛知県岩倉市八剱町長野１－３,35.2932836706,136.882091353,0,0,0,1,0,0,0,0,0,1
長久手アピタ店,愛知県長久手市戸田谷９０１－１,35.172126831,137.038737113,0,0,0,0,0,0,0,0,0,0
春日井美濃町店,愛知県春日井市美濃町２－３０,35.2395778587,136.939852437,1,0,1,0,1,0,0,0,0,1
